StateID,Dcode,ConstCode,Constituency,1stCandidate,1stGender,1stAge,1stAgeBracket,1stPartyID,1stPhoto,1stTotalVoteReceived,2ndCandidate,2ndGender,2ndAge,2ndAgeBracket,2ndPartyID,2ndTotalVoteReceived,2ndPhoto,3rdCandidate,3rdGender,3rdAge,3rdAgeBracket,3rdPartyID,3rdTotalVoteReceived,3rdPhoto
2,202,2022,सिराहा-2,राज किशोर यादव,M,49,41-60,41,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Rajkishor-Yadav-1.jpg,24178,चित्रलेखा यादब,F,57,41-60,2,23028,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Chita-lekha-yadav-1.jpg,बिनोद कुमार यादव,M,53,41-60,48,16902,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Binod-kumar-yadav-_.jpg
2,202,2023,सिराहा-3,लिलानाथ श्रेष्ठ,M,65,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Lilanath-Shrestha-1.jpg,28064,विश्‍वनाथ साह,M,69,60+,3,26882,https://election.onlinekhabar.com/wp-content/uploads/2022/11/BIshonath-saha.jpg,दिनेश  कुमार  यादव,M,33,21-40,48,11146,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
2,202,2024,सिराहा-4,बिरेन्द्र प्रसाद महतो,M,53,41-60,41,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/birendra-mahato-1.jpg,24102,वीरेन्द्र प्रसाद साह,M,53,41-60,48,16294,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg,धर्मनाथ प्रसाद साह,M,62,60+,38,14653,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Dharmanath-saha-1.jpg
2,203,2031,धनुषा-1,दीपक कार्की,M,58,41-60,41,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/deepak-karki-_.jpg,27431,मातृका प्रसाद यादव,M,64,60+,3,21483,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Matrika-Yadav_.jpg,किशोरी साह कमल,M,52,41-60,48,14467,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
2,203,2032,धनुषा-2,राम कृष्ण यादव,M,60,41-60,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/ramkrishna-yadav.jpg,20112,उमाशंकर अरगरिया,M,45,41-60,1,19955,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Umashankr-yadav1.jpg,राम चन्द्र झा,M,68,60+,38,13605,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/ram-chndra-jha.jpg
2,203,2033,धनुषा-3,जुली कुमारी महतो (महासेठ),F,46,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Juli-mahato.jpg,33388,अनिल कुमार झा,M,55,41-60,44,23686,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Anil-jha.jpg,शम्भु नाथ साह,M,44,41-60,48,7374,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/sahmbhu-nath-shaha.jpg
2,203,2034,धनुषा-4,रघुबीर महासेठ,M,61,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Raghubir-mahaseth1.jpg,32236,महेन्द्र यादव,M,60,41-60,2,32112,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Mahendra-yadav1.jpg,महाजन यादव,M,66,60+,41,5212,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Mahajn-yadav1.jpg
2,204,2041,महोत्तरी-1,लझ्मी महतो काेइरी,M,58,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Laxmi-mahato-_.jpg,23402,गिरिराज  मणी  पोखरेल,M,65,60+,3,22372,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Girirajmni-pokhrel-_.jpg,पोषण बहादुर थापा,M,44,41-60,13,7812,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Posan-thapa_.jpg
2,204,2042,महोत्तरी-2,शरत सिंह भण्डारी,M,68,60+,44,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Sarat-sing-bhandari-_.jpg,25190,विजय कुमार सिंह,M,70,60+,71,11120,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/bijay-kumar-singh.jpg,राम परिक्षण यादव,M,63,60+,1,10258,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/ram-parikshan-yadav-_.jpg
2,204,2043,महोत्तरी-3,महन्थ ठाकुर,M,80,60+,44,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/mahanta-thakur.jpg,16375,हरि नारायण यादव,M,60,41-60,41,14325,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Harinarayn-yadav-_.jpg,राम आधार कापर,M,52,41-60,13,12733,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
2,204,2044,महोत्तरी-4,महेन्‍द्र कुमार राय,M,63,60+,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Mahendra-kumar-ray-_.jpg,25448,सुरेन्‍द्र कुमार यादव,M,51,41-60,41,21331,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Dr-Surendra-yadav-_.jpg,मनोज कुमार साह,M,47,41-60,48,10059,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
